,name,Country,Latitude,Longitude,Temperature,Wind Speed (mph),Humidity (%),Cloudiness (%)
0,Tooele,US,40.53,-112.3,38.08,14.99,64,40
1,Cascais,PT,38.7,-9.42,49.3,1.12,58,0
2,Cabra,ES,37.47,-4.44,39.38,2.24,93,0
3,Omboue,GA,-1.57,9.26,78.64,9.64,100,76
4,Lakes Entrance,AU,-37.88,147.98,73.1,11.39,66,36
5,Quesnel,CA,53.0,-122.5,24.8,2.24,92,90
6,Vila Franca do Campo,PT,37.72,-25.43,66.2,5.82,88,40
7,Salalah,OM,17.02,54.09,77.0,4.7,69,0
8,Krasnosel’kup,RU,65.7,82.47,1.96,11.05,70,64
9,Kirensk,RU,57.79,108.11,-11.01,2.48,71,12
10,Rio Grande,BR,-32.03,-52.1,66.35,10.31,95,8
11,Roebourne,AU,-20.78,117.13,85.48,9.08,45,0
12,Ternate,ID,0.8,127.4,84.94,2.82,100,12
13,Jeremie,HT,18.65,-74.12,75.89,11.43,100,88
14,Sendafa,ET,9.15,39.03,27.16,2.71,69,0
15,Hermon,US,44.81,-68.91,28.4,8.05,68,1
16,Quchan,IR,37.11,58.51,16.85,2.77,68,0
17,Beberibe,BR,-4.18,-38.13,80.6,11.41,74,40
18,Aksha,RU,50.28,113.29,10.55,9.53,42,56
19,Saurimo,AO,-9.66,20.39,66.76,3.22,95,92
20,Cedar City,US,37.68,-113.06,37.4,10.29,86,90
21,Akcakoca,TR,41.09,31.12,39.94,2.55,87,44
22,Rikitea,PF,-23.12,-134.97,72.79,22.73,100,64
23,Shieli,KZ,44.17,66.75,33.37,9.04,83,80
24,Mineiros,BR,-17.57,-52.55,70.76,4.34,83,48
25,Puerto Madero,MX,14.72,-92.42,78.8,2.48,88,40
26,San Mariano,PH,7.5,126.0,82.4,6.93,78,75
27,Aiquile,BO,-18.2,-65.18,49.48,3.71,91,0
28,Bilibino,RU,68.05,166.44,10.69,4.38,75,92
29,York,GB,53.96,-1.08,42.04,10.29,81,40
30,Mayskiy,RU,47.69,40.1,33.8,11.18,80,36
31,Coquimbo,CL,-29.95,-71.34,56.77,7.02,100,0
32,Dikson,RU,73.51,80.55,-3.76,13.78,100,8
33,Araouane,ML,18.9,-3.53,61.36,8.3,18,88
34,Xiaoshi,CN,41.3,124.12,17.6,6.71,34,0
35,Palana,RU,59.12,159.97,33.5,31.63,84,44
36,Kabare,CD,-2.47,28.82,56.99,2.1,100,48
37,Vanavara,RU,60.34,102.28,-8.4,4.23,79,80
38,Urozhaynoye,RU,44.79,44.92,32.96,9.04,94,92
39,Sarangani,PH,5.4,125.46,83.99,7.81,100,32
40,Camopi,GF,3.17,-52.32,80.53,4.38,54,0
41,San Borja,BO,-14.82,-66.85,73.87,2.33,94,8
42,Longyearbyen,SJ,78.22,15.64,28.4,11.41,68,75
43,Russkaya Polyana,UA,49.42,31.92,33.91,5.84,94,92
44,Palasa,IN,18.77,84.42,77.15,11.83,100,56
45,Mareeba,AU,-17.0,145.43,86.0,12.75,51,20
46,Altagracia de Orituco,VE,9.86,-66.38,76.25,7.36,85,0
47,Talaya,RU,61.38,152.75,3.08,7.92,75,68
48,Fayaoue,NC,-20.65,166.53,75.44,10.38,100,0
49,Kavieng,PG,-2.57,150.8,83.54,1.54,100,12
50,Peniche,PT,39.36,-9.38,48.25,1.12,58,0
51,Deputatskiy,RU,69.3,139.9,-21.09,3.71,29,0
52,Labuan,ID,-6.38,105.83,84.67,11.16,89,12
53,Nizamabad,IN,18.67,78.12,76.84,4.56,64,0
54,Ayaviri,PE,-14.89,-70.59,36.83,1.32,99,80
55,Timizart,DZ,36.8,4.27,28.19,2.21,95,0
56,Blackwater,AU,-23.58,148.88,84.31,8.59,39,76
57,Lompoc,US,34.64,-120.46,59.43,6.93,76,1
58,Serra,BR,-20.13,-40.31,77.0,13.87,78,20
59,Brae,GB,60.4,-1.35,42.03,23.04,60,68
60,Kushima,JP,31.46,131.23,57.74,3.36,93,75
61,Esmeraldas,BR,-19.76,-44.31,75.2,6.93,57,0
62,Loutros,GR,40.59,22.4,55.4,6.93,87,75
63,Nynashamn,SE,58.9,17.95,43.66,9.17,70,92
64,Wichelen,BE,51.0,3.95,36.16,8.05,82,20
65,Fes,MA,34.04,-5.0,52.16,8.05,39,0
66,Yellowknife,CA,62.46,-114.35,-13.01,6.93,83,5
67,Ostrovnoy,RU,68.05,39.51,0.97,3.11,70,0
68,Riberalta,BO,-10.98,-66.1,76.16,2.04,93,20
69,Zonguldak,TR,41.25,31.83,48.76,2.48,90,36
70,Midrand,ZA,-25.96,28.14,52.65,3.36,39,0
71,Skotterud,NO,59.98,12.13,33.82,4.23,100,92
72,Dondo,MZ,-19.61,34.74,74.18,9.42,86,68
73,Dudinka,RU,69.41,86.18,-10.92,5.79,55,68
74,Albion,US,42.24,-84.75,42.98,12.75,64,90
75,Xuanhua,CN,40.61,115.04,18.74,8.86,29,0
